No,Star Name,Equatorial Coordinates,Galactic Longitude,Galactic Latitude,Spectral Type,Visual Magnitude,Absolute Magnitude,Parallax,Error,Distance (ly)
36,Delta Canis Majoris       Wezen,07 08 -26.4,238.4,-8.3,F8Ia,1.83,-6.87,1.82,0.56,1800
37,Epsilon Sagittarii        Kaus Australis,18 24 -34.4,359.2,-9.8,B9.5III,1.84,-1.39,22.55,1.02,145
39,Theta Scorpii             Sargas,17 37 -43.0,347.1,-5.9,F1II,1.86,-2.75,11.99,0.84,270
40,Epsilon Carinae           Avior,08 23 -59.5,274.3,-12.5,K3II+B2V,1.87,-4.57,5.16,0.49,630
42,Alpha Trianguli Australis Atria,16 49 -69.0,321.6,-15.3,K2Ib-II,1.92,-3.61,7.85,0.63,420
44,Alpha Pavonis             Peacock,20 26 -56.7,340.9,-35.3,B0.5V+B2V,1.93,-1.82,17.80,0.70,180
45,Delta Velorum             Koo She,08 45 -54.7,272.1,-7.3,A0V,1.95,0.01,40.90,0.38,80
46,Beta Canis Majoris        Mirzam,06 23 -18.0,226.1,-14.2,B1III,1.98,-3.95,6.53,0.66,500
50,Alpha Arietis             Hamal,02 07 +23.5,144.5,-36.2,K2III,2.01,0.48,49.48,0.99,66
51,Beta Ceti                 Diphda,00 44 -18.0,112.0,-80.7,K0III,2.04,-0.30,34.04,0.82,96
52,Sigma Sagittarii          Nunki,18 55 -26.3  ,9.5,-12.4,B3V,2.05,-2.14,14.54,0.88,220
54,Alpha Andromedae          Alpheratz,00 08 +29.1,111.6,-32.8,B9IV,2.07,-0.30,33.60,0.73,97
55,Beta Andromedae           Mirach,01 10 +35.6,127.2,-27.1,M0II,2.07,-1.86,16.36,0.76,200
56,Kappa Orionis             Saiph,05 48  -9.7,214.6,-18.4,B0.5III,2.07,-4.65,4.52,0.77,720
58,Beta Gruis                Al Dhanab,22 43 -46.9,346.2,-58.0,M5III,2.07v,-1.52v,19.17,0.75,170
61,Gamma Andromedae          Almach,02 04 +42.3,137.0,-18.6,K3II+B8V+A0V,2.10,-3.08,9.19,0.73,360
63,Gamma Cassiopeiae         Cih,00 57 +60.7,123.6,-2.2,B0IV,2.15v,-4.22v,5.32,0.56,610
65,Zeta Puppis               Naos,08 04 -40.0,256.0,-4.6,O5Ia,2.21,-5.95,2.33,0.51,1400
66,Iota Carinae              Aspidiske,09 17 -59.3,278.5,-7.0,A8Ib,2.21v,-4.42v,4.71,0.46,690
71,Alpha Cassiopeiae         Schedar,00 41 +56.5,121.5,-6.3,K0II,2.24,-1.99,14.27,0.57,230
74,Beta Cassiopeiae          Caph,00 09 +59.2,117.5,-3.2,F2III,2.28,1.17,59.89,0.56,55
82,Epsilon Pegasi            Enif,21 44  +9.9 ,65.6,-31.4,K2Ib,2.38,-4.19,4.85,0.84,670
83,Kappa Scorpii             Girtab,17 42 -39.0,351.0,-4.6,B1.5III,2.39,-3.38,7.03,0.73,460
84,Alpha Phoenicis           Ankaa,00 26 -42.3,320.2,-74.0,K0III,2.40,0.52,42.14,0.78,77
87,Beta Pegasi               Scheat,23 04 +28.1 ,95.8,-29.1,M2III,2.44v,-1.49v,16.37,0.72,200
88,Eta Canis Majoris         Aludra,07 24 -29.3,242.6,-6.5,B5Ia,2.45,-7.51,1.02,0.57,3000
90,Kappa Velorum             Markeb,09 22 -55.0,275.9,-3.5,B2IV,2.47,-3.62,6.05,0.48,540
91,Epsilon Cygni             Gienah,20 46 +34.0 ,76.0,-5.7,K0III,2.48,0.76,45.26,0.53,72
92,Alpha Pegasi              Markab,23 05 +15.2 ,88.4,-40.4,B9IV,2.49,-0.67,23.36,0.76,140
93,Alpha Ceti                Menkar,03 02  +4.1,173.3,-45.6,M2III,2.54,-1.61,14.82,0.83,220
98,Alpha Leporis             Arneb,05 33 -17.8,221.0,-25.1,F0Ib,2.58,-5.40,2.54,0.72,1300
101,Zeta Sagittarii           Ascella,19 03 -29.9  ,6.9,-15.5,A2IV+A4V,2.60,0.42,36.61,1.37,89
104,Beta Arietis              Sheratan,01 55 +20.8,142.4,-39.7,A5V,2.64,1.33,54.74,0.75,60
106,Alpha Columbae            Phact,05 40 -34.1,238.9,-28.8,B7IV,2.65,-1.93,12.16,0.60,270
109,Delta Cassiopeiae         Ruchbah,01 26 +60.2,127.2,-2.4,A5III,2.66,0.24,32.81,0.62,99
112,Iota Aurigae              Hassaleh,04 57 +33.2,170.6,-6.1,K3II,2.69,-3.29,6.37,0.96,510
114,Alpha Muscae,12 37 -69.1,301.6,-6.3,B2V,2.69,-2.17,10.67,0.48,310
115,Upsilon Scorpii           Lesath,17 31 -37.3,351.3,-1.9,B2IV,2.70,-3.31,6.29,0.81,520
116,Pi Puppis,07 17 -37.1,249.0,-11.3,K4Ib,2.71,-4.92,2.98,0.55,1100
118,Gamma Aquilae             Tarazed,19 46 +10.6 ,48.7,-7.0,K3II,2.72,-3.03,7.08,0.75,460
121,Theta Carinae,10 43 -64.4,289.6,-4.9,B0V,2.74,-2.91,7.43,0.50,440
123,Iota Orionis              Hatysa,05 35  -5.9,209.5,-19.7,O9III,2.75,-5.30,2.46,0.77,1300
126,Beta Eridani              Kursa,05 08  -5.1,205.4,-25.3,A3III,2.78,0.60,36.71,0.76,89
132,Beta Leporis              Nihal,05 28 -20.8,223.6,-27.3,G5III,2.81,-0.63,20.49,0.85,160
134,Beta Hydri,00 26 -77.3,304.7,-39.7,G2IV,2.82,3.45,133.78,0.51,24
136,Lambda Sagittarii         Kaus Borealis,18 28 -25.4  ,7.7,-6.5,K1III,2.82,0.95,42.20,0.90,77
137,Gamma Pegasi              Algenib,00 13 +15.2,109.4,-46.7,B2IV,2.83,-2.22,9.79,0.81,330
139,Beta Trianguli Australis,15 55 -63.4,321.9,-7.5,F2IV,2.83,2.38,81.24,0.62,40
140,Zeta Persei,03 54 +31.9,162.3,-16.7,B1II+B8IV+A2V,2.84,-4.55,3.32,0.75,980
141,Beta Arae,17 25 -55.5,335.4,-11.0,K3Ib-II,2.84,-3.49,5.41,0.76,600
142,Alpha Arae                Choo,17 32 -49.9,340.8,-8.9,B2V,2.84,-1.51,13.46,0.95,240
143,Eta Tauri                 Alcyone,03 47 +24.1,166.6,-23.5,B7III,2.85,-2.41,8.87,0.99,370
146,Alpha Hydri               Head of Hydrus,01 59 -61.6,289.4,-53.7,F0III,2.86,1.16,45.74,0.55,71
149,Gamma Trianguli Australis,15 19 -68.7,316.5,-8.4,A1III,2.87,-0.87,17.85,0.52,180
150,Alpha Tucanae,22 19 -60.3,330.1,-48.0,K3III,2.87,-1.05,16.42,0.59,200
151,Theta Eridani             Acamar,02 58 -40.3,247.9,-60.7,A4III+A1V,2.88,-0.59,20.22,0.54,160
152,Pi Sagittarii             Albaldah,19 10 -21.0 ,15.9,-13.3,F2II,2.88,-2.77,7.41,0.69,440
155,Epsilon Persei,03 58 +40.0,157.4,-10.1,B0.5V+A2V,2.90,-3.19,6.06,0.82,540
158,Beta Aquarii              Sadalsuud,21 32 -05.6 ,48.0,-37.9,G0Ib,2.90,-3.47,5.33,0.94,610
159,Gamma Persei,03 05 +53.5,142.1,-4.3,G8III+A2V,2.91,-1.57,12.72,0.71,260
160,Upsilon Carinae,09 47 -65.1,285.0,-8.8,A7Ib+B7III,2.92,-5.56,2.01,0.40,1600
161,Eta Pegasi                Matar,22 43 +30.2 ,92.5,-25.0,G2II-III+F0V,2.93,-1.16,15.18,0.79,215
162,Tau Puppis,06 50 -50.6,260.2,-20.9,K1III,2.94,-0.80,17.85,0.49,185
164,Alpha Aquarii             Sadalmelik,22 06 -00.3 ,59.9,-42.1,G2Ib,2.95,-3.88,4.30,0.83,760
165,Gamma Eridani             Zaurak,03 58 -13.5,205.2,-44.5,M1III,2.97,-1.19,14.75,0.75,220
166,Zeta Tauri                Alheka,05 38 +21.1,185.7,-5.6,B4III,2.97,-2.56,7.82,1.02,420
168,Gamma² Sagittarii         Alnasl,18 06 -30.4  ,0.9,-4.5,K0III,2.98,0.63,33.94,0.87,96
170,Iota¹ Scorpii,17 48 -40.1,350.6,-6.1,F2Ia,2.99,-5.71,1.82,0.73,1800
172,Beta Trianguli,02 10 +35.0,140.6,-25.2,A5III,3.00,0.09,26.24,0.77,124
176,Gamma Gruis,21 54 -37.4  ,6.1,-51.5,B8III,3.00,-0.97,16.07,0.77,205
177,Delta Persei,03 43 +47.8,150.3,-5.8,B5III,3.01,-3.04,6.18,0.85,530
178,Zeta Canis Majoris        Phurad,06 20 -30.1,237.5,-19.4,B2.5V,3.02,-2.05,9.70,0.58,340
179,Omicron² Canis Majoris,07 03 -23.8,235.6,-8.2,B3Ia,3.02,-6.46,1.27,0.56,2600
182,Beta Muscae,12 46 -68.1,302.5,-5.2,B2V+B3V,3.04,-1.86,10.48,0.65,310
184,Beta Capricorni           Dabih,20 21 -14.8 ,29.2,-26.4,G5II+A0V,3.05,-2.07,9.48,0.95,340
188,Eta Sagittarii,18 18 -36.8,356.4,-9.7,M3.5III,3.10,-0.20,21.87,0.92,149
191,Lambda Centauri,11 36 -63.0,294.5,-1.4,B9III,3.11,-2.39,7.96,0.52,410
192,Alpha Indi                Persian,20 38 -47.3,352.6,-37.2,K0III,3.11,0.65,32.21,0.75,101
193,Beta Columbae             Wazn,05 51 -35.8,241.3,-27.1,K2III,3.12,1.02,37.94,0.57,86
195,Zeta Arae,16 59 -56.0,332.8,-8.2,K3II,3.12,-3.11,5.68,0.91,570
199,N Velorum,09 31 -57.0,278.2,-4.1,K5III,3.16,-1.15,13.72,0.51,240
201,Nu Puppis,06 38 -43.2,251.9,-20.5,B8III,3.17,-2.39,7.71,0.52,420
204,Phi Sagittarii,18 46 -27.0  ,8.0,-10.8,B8III,3.17,-1.08,14.14,0.88,230
206,Alpha Circini,14 43 -65.0,314.3,-4.6,F0V+K5V,3.18,2.11,60.97,0.58,53
207,Pi³ Orionis               Tabit,04 50 +07.0,191.5,-23.1,F6V,3.19,3.67,124.60,0.95,26
208,Epsilon Leporis,05 05 -22.4,223.3,-32.7,K5III,3.19,-1.02,14.39,0.68,225
210,G Scorpii,17 50 -37.0,353.5,-4.9,K2III,3.19,0.24,25.71,0.87,127
211,Zeta Cygni,21 13 +30.2 ,76.8,-12.5,G8III,3.21,-0.12,21.62,0.63,151
217,Alpha Pictoris,06 48 -61.9,271.9,-24.1,A7III,3.24,0.83,32.96,2.14,99
218,Theta Aquilae,20 11 -00.8 ,41.6,-18.1,B9.5III,3.24,-1.48,11.36,0.92,285
219,Sigma Puppis,07 29 -43.3,255.7,-11.9,K5III+G5V,3.25,-0.51,17.74,0.47,185
223,Gamma Hydri,03 47 -74.2,289.1,-37.8,M2III,3.26,-0.83,15.23,0.53,215
224,Delta Andromedae,00 39 +30.9,119.9,-31.9,K3III,3.27,0.81,32.19,0.68,101
226,Delta Aquarii             Skat,22 55 -15.8 ,49.6,-60.7,A3III,3.27,-0.18,20.44,2.26,160
227,Mu Leporis,05 13 -16.2,217.3,-28.9,B9IV,3.29v,-0.47v,17.69,0.71,185
228,Omega Carinae,10 14 -70.0,290.2,-11.2,B8III,3.29,-1.99,8.81,0.48,370
230,Alpha Doradus,04 34 -55.0,263.8,-41.4,A0IV+B9IV,3.30,-0.36,18.56,0.46,175
231,p Carinae,10 32 -61.7,287.2,-3.2,B4V,3.30,-2.62,6.56,0.49,500
235,Gamma Arae,17 25 -56.4,334.6,-11.5,B1III,3.31,-4.40,2.87,0.75,1100
236,Beta Phoenicis,01 06 -46.7,295.5,-70.2,G8III,3.32,-0.55,16.9,9.9,190
237,Rho Persei                Gorgonea Tertia,03 05 +38.8,149.6,-17.0,M3III,3.32v,-1.67v,10.03,0.83,325
239,Eta Scorpii,17 12 -43.2,344.4,-2.3,F3III-IV,3.32,1.61,45.56,0.79,72
241,Tau Sagittarii,19 07 -27.7  ,9.3,-15.4,K1III,3.32,0.48,27.09,1.48,120
242,Alpha Reticuli,04 14 -62.5,274.3,-41.7,G8III,3.33,-0.17,19.98,0.45,165
246,Eta Orionis               Algjebbah,05 24 -02.4,204.9,-20.4,B1V+B2V,3.35,-3.86,3.62,0.88,900
249,Delta Aquilae,19 25 +03.1 ,39.6,-6.1,F2IV,3.36,2.43,65.05,0.81,50
253,Lambda Orionis            Meissa,05 35 +09.9,195.1,-12.0,O8III,3.39,-4.16,3.09,0.78,1100
254,q Carinae,10 17 -61.3,285.5,-3.8,K3II,3.39,-3.38,4.43,0.49,740
257,Theta² Tauri,04 29 +15.9,180.4,-22.0,A7III,3.40,0.10,21.89,0.83,150
258,Gamma Phoenicis,01 28 -43.3,280.5,-72.2,K5III,3.41,-0.87,13.94,0.64,235
263,Zeta Pegasi               Homam,22 41 +10.8,078.9,-40.7,B8.5V,3.41,-0.62,15.64,0.75,210
264,Alpha Trianguli           Mothallah,01 53 +29.6,138.6,-31.4,F6IV,3.42,1.95,50.87,0.82,64
267,Beta Pavonis,20 45 -66.2,329.0,-36.0,A7III,3.42,0.29,23.71,0.63,140
268,a Carinae,09 11 -58.9,277.7,-7.4,B2IV,3.43,-2.11,7.79,0.47,420
270,Lambda Aquilae            Althalimain,19 06 -04.9,030.3,-5.5,B9V,3.43,0.51,26.05,0.81,125
273,Eta Cassiopeiae           Achird,00 49 +57.8,122.6,-5.1,G0V+K7V,3.46,4.59,167.99,0.62,19
274,Eta Ceti                  Dheneb,01 09 -10.2,137.2,-72.6,K2III,3.46,0.67,27.73,0.71,118
275,Chi Carinae,07 57 -53.0,266.7,-12.3,B3IV,3.46,-1.91,8.43,0.52,390
277,Gamma Ceti                Kaffaljidhma,02 43 +03.2,168.9,-49.4,A3V+F3V+K5V,3.47,1.47,39.78,0.95,82
280,Tau Ceti,01 44 -15.9,173.1,-73.4,G8V,3.49,5.68,274.17,0.80,12
281,Sigma Canis Majoris,07 02 -27.9,239.2,-10.3,K7Ib,3.49,-4.37,2.68,0.59,1200
284,Alpha Telescopii,18 27 -46.0,348.7,-15.2,B3IV,3.49,-0.93,13.08,0.71,250
285,Epsilon Gruis,22 49 -51.3,338.3,-56.5,A3V,3.49,0.49,25.16,0.68,130
286,Kappa Canis Majoris,06 50 -32.5,242.4,-14.5,B1.5IV,3.50,-3.42,4.13,0.50,790
289,Gamma Sagittae,19 59 +19.5 ,58.0,-5.2,K5III,3.51,-1.11,11.90,0.71,270
290,Mu Pegasi                 Sadalbari,22 50 +24.6 ,90.7,-30.6,G8III,3.51,0.74,27.95,0.77,117
291,Delta Eridani             Rana,03 43 -09.8,198.1,-46.0,K0IV,3.52,3.74,110.58,0.88,29
294,Xi² Sagittarii,18 58 -21.1 ,14.6,-10.8,K0II,3.52,-1.77,8.76,0.99,370
295,Theta Pegasi              Baham,22 10 +06.2 ,67.4,-38.7,A2V,3.52,1.16,33.77,0.85,97
296,Epsilon Tauri             Ain,04 29 +19.2,177.6,-19.9,K0III,3.53,0.15,21.04,0.82,155
